run_dir	script.id	operation.kind	result.outcome	exit_code	message	stderr_first_line	commitments
/Users/achyland/Desktop/fencerunner/scratch/inheritance/abs	abs	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/array-contains	array-contains	legacy.exec	error	0	bash>=4	./array-contains.legacy: line 19: local: -n: invalid option	emit.record,policy.read_only,recommend.install_dependency
/Users/achyland/Desktop/fencerunner/scratch/inheritance/array-to-string	array-to-string	legacy.exec	error	0	bash>=4	./array-to-string.legacy: line 19: local: -n: invalid option	emit.record,policy.read_only,recommend.install_dependency
/Users/achyland/Desktop/fencerunner/scratch/inheritance/center-text	center-text	legacy.exec	error	0	bash>=4	./center-text.legacy: line 34: declare: -g: invalid option	emit.record,policy.read_only,recommend.install_dependency
/Users/achyland/Desktop/fencerunner/scratch/inheritance/check-prerequisites	check-prerequisites	legacy.exec	error	1	IwillFail		emit.record,policy.read_only,recommend.install_dependency
/Users/achyland/Desktop/fencerunner/scratch/inheritance/compare-versions	compare-versions	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/contains	contains	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/countdown	countdown	legacy.quarantined	partial	0	quarantined	quarantined	emit.record,policy.read_only,recommend.quarantine
/Users/achyland/Desktop/fencerunner/scratch/inheritance/error-messages	error-messages	legacy.exec	success	0		This is an error	emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-confirmation	get-confirmation	legacy.quarantined	partial	0	quarantined	quarantined	emit.record,policy.read_only,recommend.quarantine,recommend.run_interactively
/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-git-root	get-git-root	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-script-info	get-script-info	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-terraform-version	get-terraform-version	legacy.exec	error	0	terraform		emit.record,policy.read_only,recommend.install_dependency
/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-version-string	get-version-string	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/is-git-repo	is-git-repo	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/rollingback	rollingback	legacy.quarantined	partial	0	quarantined	quarantined	emit.record,policy.read_only,recommend.quarantine
/Users/achyland/Desktop/fencerunner/scratch/inheritance/stacktrace	stacktrace	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/strict-mode	strict-mode	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/sudo-librarian-puppet	sudo-librarian-puppet	legacy.quarantined	partial	0	quarantined	quarantined	emit.record,policy.read_only,recommend.needs_privilege,recommend.quarantine
/Users/achyland/Desktop/fencerunner/scratch/inheritance/terminal-or-not	terminal-or-not	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/untag	untag	legacy.quarantined	partial	0	quarantined	quarantined	emit.record,policy.read_only,recommend.needs_network,recommend.quarantine
/Users/achyland/Desktop/fencerunner/scratch/inheritance/using-colour	using-colour	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/using-set	using-set	legacy.exec	success	0			emit.record,policy.read_only
/Users/achyland/Desktop/fencerunner/scratch/inheritance/variable-replace	variable-replace	legacy.exec	error	1	bash>=4	./variable-replace.legacy: line 61: declare: -A: invalid option	emit.record,policy.read_only,recommend.install_dependency
/Users/achyland/Desktop/fencerunner/scratch/inheritance/verbose-mode	verbose-mode	legacy.exec	success	0			emit.record,policy.read_only
